price,make_model,body_type,vat,km,type,fuel,gears,extras,age,previous_owners,hp_kw,inspection_new,paint_type,upholstery_type,gearing_type,displacement_cc,weight_kg,drive_chain,cons_comb,comfort_package,entertainment_media_package,safety_security_package
28990,Opel Insignia,Station wagon,VAT deductible,15.0,New,Benzine,6.0,"Alloy wheels,Roof rack,Ski bag,Sport package,Sport seats,Touch screen,Voice Control",0.0,1.0,121.0,0,Uni/basic,Cloth,Automatic,1490.0,1487.0,front,6.2,Premium,Premium Media,Safety Premium Package
28950,Opel Insignia,Station wagon,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Roof rack,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,121.0,0,Metallic,Part/Full Leather,Automatic,1500.0,1487.0,front,6.1,Premium,Premium Media,Safety Premium Package
28990,Opel Insignia,Station wagon,VAT deductible,2254.0,Demonstration,Diesel,6.0,"Alloy wheels,Sport seats",0.0,1.0,100.0,0,Metallic,Cloth,Automatic,1598.0,1487.0,front,5.6,Standard,Standard Media,Safety Standard Package
28989,Opel Insignia,Sedans,VAT deductible,8500.0,Used,Diesel,8.0,"Alloy wheels,Sport seats",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1503.0,front,5.4,Premium,Premium Media,Safety Premium Package
28989,Opel Insignia,Sedans,VAT deductible,8000.0,Used,Diesel,8.0,"Alloy wheels,Sport seats",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1503.0,front,5.4,Premium,Premium Media,Safety Premium Package
28490,Opel Insignia,Station wagon,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Roof rack,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,121.0,0,Metallic,Part/Full Leather,Automatic,1500.0,1487.0,front,6.1,Premium,Premium Media,Safety Premium Package
28900,Opel Insignia,Station wagon,VAT deductible,30.0,Pre-registered,Diesel,6.0,"Alloy wheels,Touch screen",0.0,1.0,100.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1585.0,front,5.5,Standard,Premium Media,Safety Standard Package
28850,Opel Insignia,Station wagon,VAT deductible,10.0,Pre-registered,Diesel,8.0,Alloy wheels,0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1660.0,front,5.7,Premium,Standard Media,Safety Premium Plus Package
28900,Opel Insignia,Sedans,VAT deductible,9999.0,Used,Diesel,6.0,"Alloy wheels,Sport seats",0.0,1.0,100.0,0,Uni/basic,Cloth,Automatic,1598.0,1440.0,front,5.4,Standard,Standard Media,Safety Standard Package
28001,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Benzine,6.0,Alloy wheels,0.0,1.0,147.0,0,Uni/basic,Cloth,Automatic,1598.0,1441.0,front,6.0,Standard,Premium Media,Safety Standard Package
